#    Lat.       Lon.           Depth(km)    Vp(km/s)     Vs(km/s)    Rho(g/cm^3)  
     42.1250    -106.8750       1.0000       4.4660       2.3070       2.4803 
     42.1250    -106.6250       1.0000       4.4930       2.3850       2.4845 
     42.1250    -106.3750       1.0000       4.5290       2.4170       2.4902 
     42.1250    -106.1250       1.0000       4.5660       2.4250       2.4959 
     42.1250    -105.8750       1.0000       4.6230       2.4270       2.5046 
     42.1250    -105.6250       1.0000       4.6720       2.4290       2.5120 
     42.1250    -105.3750       1.0000       4.6690       2.4040       2.5116 
     42.1250    -105.1250       1.0000       4.6670       2.3500       2.5113 
     42.1250    -104.8750       1.0000       4.6630       2.3100       2.5107 
     42.1250    -104.6250       1.0000       4.6590       2.2760       2.5101 
     42.1250    -104.3750       1.0000       4.6480       2.2290       2.5084 
     42.1250    -104.1250       1.0000       4.6340       2.2220       2.5063 
     42.1250    -103.8750       1.0000       4.6280       2.2250       2.5054 
     42.1250    -103.6250       1.0000       4.6480       2.2530       2.5084 
     42.1250    -103.3750       1.0000       4.6800       2.3100       2.5132 
     42.1250    -103.1250       1.0000       4.7330       2.3810       2.5211 
     42.1250    -102.8750       1.0000       4.7900       2.4320       2.5295 
     42.1250    -102.6250       1.0000       4.8340       2.4620       2.5359 
     42.1250    -102.3750       1.0000       4.8770       2.5010       2.5422 
     42.1250    -102.1250       1.0000       4.9230       2.5210       2.5488 
     42.1250    -101.8750       1.0000       4.9700       2.5460       2.5555 
     42.1250    -101.6250       1.0000       5.0080       2.5690       2.5609 
     42.1250    -101.3750       1.0000       5.0420       2.5850       2.5658 
     42.1250    -101.1250       1.0000       5.0740       2.5950       2.5703 
     42.3750    -106.8750       1.0000       4.4940       2.2630       2.4847 
     42.3750    -106.6250       1.0000       4.5230       2.3450       2.4892 
     42.3750    -106.3750       1.0000       4.5500       2.3710       2.4934 
     42.3750    -106.1250       1.0000       4.5810       2.3860       2.4982 
     42.3750    -105.8750       1.0000       4.6160       2.3970       2.5035 
     42.3750    -105.6250       1.0000       4.6340       2.4160       2.5063 
     42.3750    -105.3750       1.0000       4.6460       2.3920       2.5081 
     42.3750    -105.1250       1.0000       4.6640       2.3540       2.5108 
     42.3750    -104.8750       1.0000       4.6880       2.3290       2.5144 
     42.3750    -104.6250       1.0000       4.7010       2.3100       2.5163 
     42.3750    -104.3750       1.0000       4.6910       2.2880       2.5149 
