                       СМЕННЫЙ РАПОРТ ОПЕРАТОРА

Организация:          ООО "Восток ГеоСервис"  
Сейсмическая партия:  № 1  
Cтанция:              SCOUT № 22
Район работ:          Култума
Геофизик-оператор:    Усманов И. Б.


		Параметры регистрации сейсмического сигнала:
Шаг дискретизации, мсек:  4	
Длительность записи, сек: 1	
Формат записи:            SGY	
ФНЧ:                      0	
ФВЧ:                      0	
Усиление, Дб:             24	
Тип фильтра:              Минимально-фазовый	
Интервал между ПП,м:      2
Кол-во активных каналов:  48
    
		Параметры возбуждения сейсмического сигнала:
Источник возбуждения:  Удар кувалдой
Система синхронизации: БСВК №306
Кол-во накоплений:     6-10	
Интервал между ПВ,м:   6

--------------------------------------------------------------------------------------------------------------------
               ¦          ¦Номер  ¦ ПВ    ¦ ПВ    ¦ПП   ¦ПП   ¦К-во   ¦  Кол-во ¦    
    ВРЕМЯ      ¦   Дата   ¦записи ¦ линия ¦ пикет ¦линия¦пикет¦каналов¦  накопл.¦  Комментарии  
               ¦          ¦(файла)¦       ¦       ¦     ¦     ¦       ¦         ¦              
---------------¦----------¦-------¦-------¦-------¦-----¦-----¦-------¦---------¦-----------------------------------
02:24:45.784000¦29-07-2022¦      4¦    1.0¦    1.0¦    1¦    1¦     48¦       10¦ 
03:10:41.784000¦29-07-2022¦      5¦    1.0¦    4.0¦    1¦    1¦     48¦       10¦ 
03:20:06.568000¦29-07-2022¦      6¦    1.0¦    7.0¦    1¦    1¦     48¦       10¦ 
03:24:30.444000¦29-07-2022¦      7¦    1.0¦   10.0¦    1¦    1¦     48¦        5¦ БРАК
03:26:05.372000¦29-07-2022¦      8¦    1.0¦   10.0¦    1¦    1¦     48¦       10¦ БРАК
03:29:50.448000¦29-07-2022¦      9¦    1.0¦   13.0¦    1¦    1¦     48¦       10¦ БРАК
03:33:54.996000¦29-07-2022¦     10¦    1.0¦   16.0¦    1¦    1¦     48¦       10¦ БРАК
03:36:42.088000¦29-07-2022¦     11¦    1.0¦   19.0¦    1¦    1¦     48¦       10¦ 
03:40:08.064000¦29-07-2022¦     12¦    1.0¦   22.0¦    1¦    1¦     48¦        6¦ БРАК
03:46:16.300000¦29-07-2022¦     13¦    1.0¦   22.0¦    1¦    1¦     48¦       10¦ БРАК
03:49:46.472000¦29-07-2022¦     14¦    1.0¦   25.0¦    1¦    1¦     48¦       10¦ БРАК
03:52:28.260000¦29-07-2022¦     15¦    1.0¦   28.0¦    1¦    1¦     48¦       10¦ БРАК
03:55:55.648000¦29-07-2022¦     16¦    1.0¦   31.0¦    1¦    1¦     48¦       10¦ БРАК
06:13:21.380000¦29-07-2022¦     17¦    1.0¦   10.0¦    1¦    1¦     48¦       10¦ 
06:17:21.636000¦29-07-2022¦     18¦    1.0¦   13.0¦    1¦    1¦     48¦       10¦ 
06:20:21.632000¦29-07-2022¦     19¦    1.0¦   16.0¦    1¦    1¦     48¦       10¦ 
06:24:15.096000¦29-07-2022¦     20¦    1.0¦   22.0¦    1¦    1¦     48¦       10¦ 
06:27:12.692000¦29-07-2022¦     21¦    1.0¦   25.0¦    1¦    1¦     48¦       10¦ БРАК
06:30:10.396000¦29-07-2022¦     22¦    1.0¦   28.0¦    1¦    1¦     48¦       10¦ БРАК
06:32:58.064000¦29-07-2022¦     23¦    1.0¦   31.0¦    1¦    1¦     48¦        5¦ БРАК
